"Data Source","World Development Indicators",

"Last Updated Date","2024-11-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Costa Rica","CRI","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.7","11.67","8.08","6.41","5.75","5.02","6.04","7.03","6.18","6.34","6.98","6.14","6.04","5.9","4.54","4.53","4.54","4.4","4.34","4.19","","3.81","","3.47","3.22","3.05","2.77","","",
"Caribbean small states","CSS","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.75","","","12.03","11.96","12.03","11.91","11.82","12.09","11.9","12.13","11.33","11.12","11.11","11.13","11.04","10.7","10.58","10.63","10.65","10.27","","9.85","10.17","9.95","","10.52","10.6","10.44","","",
"Curacao","CUW","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.03","","","","","22.79","","",
"Cyprus","CYP","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.14","3.49","6.01","4.71","3.88","3.54","4.21","5.73","4.22","3.47","3.9","4.31","3.3","4.26","2.57","2.54","2.64","2.68","2.75","2.53","2.37","2.44","2.78","2.3","2.28","2.21","2.76","2.73","2.48","2.48","2.46","2.55","1.71","2.24","","",
"Czechia","CZE","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.14","3.49","6.01","4.71","3.88","3.54","4.21","5.73","4.22","3.47","3.9","4.31","3.3","4.26","2.57","2.54","2.64","2.68","2.75","2.53","2.37","2.44","2.78","2.3","2.28","2.21","2.76","2.73","2.48","2.48","2.46","2.55","1.71","2.24","","",
"Germany","DEU","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.14","3.49","6.01","4.71","3.88","3.54","4.21","5.73","4.22","3.47","3.9","4.31","3.3","4.26","2.57","2.54","2.64","2.68","2.75","2.53","2.37","2.44","2.78","2.3","2.28","2.21","2.76","2.73","2.48","2.48","2.46","2.55","1.71","2.24","","",
"Djibouti","DJI","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.43","37.76","","","30.18","","","27.18","28.45","","","18.79","","19.27","19.27","","18.92","","","","","","","","","",
"Dominica","DMA","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.14","17.13","17.17","18.37","16.52","14.41","14.78","14.85","","","12.26","11.9","","","13.25","10.22","10.76","11.2","","13.87","10.76","10.43","","","10.36","","","",
"Denmark","DNK","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.14","3.49","6.01","4.71","3.88","3.54","4.21","5.73","4.22","3.47","3.9","4.31","3.3","4.26","2.57","2.54","2.64","2.68","2.75","2.53","2.37","2.44","2.78","2.3","2.28","2.21","2.76","2.73","2.48","2.48","2.46","2.55","1.71","2.24","","",
"Dominican Republic","DOM","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.23","15.73","10.23","10.23","20.21","10.31","10.77","10.84","10.8","10.33","9.61","7.68","9.01","","7.9","9.09","9.28","9.15","","7.93","7.49","6.32","6.33","","6.06","5.53","","",
"Algeria","DZA","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.44","","","","24.73","24.03","","","22.07","19.01","18.36","","16.33","16.03","16.27","16.18","14.23","","","","","12.24","12.26","12.24","12.32","12.47","12.49","12.52","12.83","","",
"East Asia & Pacific (excluding high income)","EAP","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.79","31.6","21.32","27.4","30.99","27.16","27.03","18.55","14.35","14.66","12.43","16.84","11.56","10.86","9.27","9.63","9.41","8.48","8.45","8.53","8.29","7.93","7.43","7.92","6.8","7.55","6.9","7.34","7.09","7.36","","","","","","",
"Early-demographic dividend","EAR","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.11","16.21","13.85","19.23","15.67","19.46","19.31","10.24","8.02","8.19","7.12","9.3","7.25","7.18","6.3","6.7","6.51","5.98","6.02","5.92","5.91","5.68","5.57","5.64","4.96","5.33","4.44","4.87","5.16","4.53","","","","","","",
"Europe & Central Asia (excluding high income)","ECA","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.08","","8.01","11.11","6.74","8.58","9.38","6.43","8.19","7.76","8.13","8.12","4.93","6.38","7.3","4.97","6.26","5.75","5.42","4.71","4.78","5.34","5.5","5.5","4.22","3.94","3.57","","","","","","",
"Europe & Central Asia","ECS","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.4","5.36","10.15","11.94","11.46","6.7","11.11","8.11","7.46","7.91","5.79","5.64","5.71","6.59","6.33","4.6","5.28","6.14","4.67","5.22","4.9","4.71","4.24","4.44","4.86","4.78","5","4.2","3.96","3.77","","","","","","",
"Ecuador","ECU","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.29","11.91","12.48","11.72","11.45","11.89","13.62","11.71","12.03","12.02","11.85","11.6","11.82","9.82","10.03","9.02","7.99","9.15","7.44","7.27","","6.95","10.5","10.97","9.42","9.48","9.8","8.88","7.7","","",
"Egypt, Arab Rep.","EGY","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.53","","","19.68","25.08","25.09","25.1","40.91","23.41","17.53","14.23","16.92","14.63","12.5","12.19","10.99","10.33","9.8","9.27","7.85","7.52","8.08","10.14","9.57","14.43","","","","",
"Euro area","EMU","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.1","","","","9.56","","","","","","","","","","","","","","","","","",
"Spain","ESP","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.14","3.49","6.01","4.71","3.88","3.54","4.21","5.73","4.22","3.47","3.9","4.31","3.3","4.26","2.57","2.54","2.64","2.68","2.75","2.53","2.37","2.44","2.78","2.3","2.28","2.21","2.76","2.73","2.48","2.48","2.46","2.55","1.71","2.24","","",
"Estonia","EST","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.14","3.49","6.01","4.71","3.88","3.54","4.21","5.73","4.22","3.47","3.9","4.31","3.3","4.26","2.57","2.54","2.64","2.68","2.75","2.53","2.37","2.44","2.78","2.3","2.28","2.21","2.76","2.73","2.48","2.48","2.46","2.55","1.71","2.24","","",
