Code Domaine,Domaine,Code zone (ISO3),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"OA","Séries temporelles annuelles","CHL","Chili","511","Population totale","3010","Population-Estimations","2021","2021","1000 personnes","19493.184","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","CHL","Chili","551","Population rurale","3010","Population-Estimations","2021","2021","1000 personnes","2266.63","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","CHL","Chili","561","Population urbaine","3010","Population-Estimations","2021","2021","1000 personnes","16338.316","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","F351","Chine","511","Population totale","3010","Population-Estimations","2021","2021","1000 personnes","1457934.562","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","F351","Chine","551","Population rurale","3010","Population-Estimations","2021","2021","1000 personnes","540439.367","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","F351","Chine","561","Population urbaine","3010","Population-Estimations","2021","2021","1000 personnes","920173.874","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","HKG","Chine - RAS de Hong-Kong","511","Population totale","3010","Population-Estimations","2021","2021","1000 personnes","7494.578","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","HKG","Chine - RAS de Hong-Kong","551","Population rurale","3010","Population-Estimations","2021","2021","1000 personnes","0","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","HKG","Chine - RAS de Hong-Kong","561","Population urbaine","3010","Population-Estimations","2021","2021","1000 personnes","7598.189","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","MAC","Chine - RAS de Macao","511","Population totale","3010","Population-Estimations","2021","2021","1000 personnes","686.607","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","MAC","Chine - RAS de Macao","551","Population rurale","3010","Population-Estimations","2021","2021","1000 personnes","0","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","MAC","Chine - RAS de Macao","561","Population urbaine","3010","Population-Estimations","2021","2021","1000 personnes","661.838","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","CHN","Chine, continentale","511","Population totale","3010","Population-Estimations","2021","2021","1000 personnes","1425893.465","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","CHN","Chine, continentale","551","Population rurale","3010","Population-Estimations","2021","2021","1000 personnes","535503.24","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","CHN","Chine, continentale","561","Population urbaine","3010","Population-Estimations","2021","2021","1000 personnes","892977.294","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","TWN","Chine, Taiwan Province de","511","Population totale","3010","Population-Estimations","2021","2021","1000 personnes","23859.912","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","TWN","Chine, Taiwan Province de","551","Population rurale","3010","Population-Estimations","2021","2021","1000 personnes","4936.127","X","Ciffre de sources internationales",""
